id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,purpose,title,zip_code,addr_state,dti,earliest_cr_line,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,loan_status
37800722,12975,36 months,17.86,468.17,D,D5,Sales,10+ years,RENT,60000,Source Verified,house,Home buying,331xx,FL,22.42,Jan-99,680,684,11,0,5200,33.1,19,f,Individual,0,0,Charged Off
37682226,17000,36 months,13.66,578.22,C,C3,Deputy sheriff,10+ years,MORTGAGE,75000,Verified,debt_consolidation,Debt consolidation,144xx,NY,23.63,1-Jan,675,679,7,0,5063,46.4,31,f,Individual,2,0,Fully Paid
37742129,6000,36 months,10.49,194.99,B,B3,Assistant manager,10+ years,MORTGAGE,120000,Not Verified,home_improvement,Home improvement,403xx,KY,6.87,Jul-89,660,664,11,0,49626,82.6,48,f,Individual,5,0,Fully Paid
37742142,2000,36 months,14.99,69.33,C,C5,practice plan associate,8 years,RENT,32200,Not Verified,credit_card,Credit card refinancing,112xx,NY,22.14,Sep-96,670,674,10,1,9544,62.4,21,f,Individual,0,1,Fully Paid
36520573,3000,36 months,10.49,97.5,B,B3,Respiratory Therapist,9 years,RENT,60000,Not Verified,medical,Medical expenses,926xx,CA,9.54,Jun-95,680,684,7,0,4936,42.6,18,f,Individual,0,0,Fully Paid
37854423,2000,36 months,15.99,70.31,D,D2,Student Services Coordinator,7 years,RENT,37000,Not Verified,other,Other,852xx,AZ,16.19,Dec-93,700,704,9,0,4533,20.1,22,f,Individual,0,0,Fully Paid
37822018,2000,36 months,14.31,68.66,C,C4,Sales Rep,2 years,RENT,52000,Not Verified,other,Other,329xx,FL,5.98,10-Feb,680,684,3,0,2227,74.2,8,f,Individual,0,0,Fully Paid
37822020,1000,36 months,12.39,33.41,C,C1,Attorney,3 years,OWN,60000,Source Verified,other,Other,567xx,MN,18.38,2-Jan,705,709,17,0,9566,55,29,f,Individual,1,0,Fully Paid
37740199,6000,36 months,14.99,207.97,C,C5,office manager,1 year,RENT,20000,Not Verified,debt_consolidation,Debt consolidation,960xx,CA,14.99,2-Aug,665,669,11,0,6941,67.4,25,f,Individual,0,0,Fully Paid
36280613,18000,36 months,11.99,597.78,B,B5,Education Advising Manager,8 years,OWN,70000,Not Verified,debt_consolidation,Debt consolidation,333xx,FL,9.11,1-Jun,710,714,6,0,16644,52.3,13,f,Individual,3,0,Fully Paid
36109709,2000,36 months,12.99,67.38,C,C2,NA,NA,RENT,21312,Verified,medical,Medical expenses,463xx,IN,5.46,Nov-98,710,714,14,0,744,1.9,20,w,Individual,1,0,Fully Paid
37791988,10800,36 months,9.49,345.91,B,B2,Asset Protection,8 years,MORTGAGE,42000,Verified,debt_consolidation,Debt consolidation,467xx,IN,18.89,7-Apr,675,679,19,0,10213,77.4,30,f,Individual,3,0,Fully Paid
37822030,18450,36 months,14.31,633.36,C,C4,construction foreman,10+ years,MORTGAGE,108000,Not Verified,home_improvement,Home improvement,810xx,CO,23.37,3-Mar,680,684,11,0,5925,87,20,f,Individual,2,0,Charged Off
37692106,28000,60 months,10.49,601.7,B,B3,Humana Cares Manager,2 years,MORTGAGE,67000,Source Verified,debt_consolidation,Debt consolidation,336xx,FL,16.13,Aug-94,710,714,15,0,14684,35.2,39,w,Individual,2,0,Fully Paid
37832099,4000,36 months,15.99,140.61,D,D2,Accounting clerk,9 years,RENT,50000,Not Verified,debt_consolidation,Debt consolidation,114xx,NY,33.99,2-Mar,665,669,12,0,5697,65.5,23,f,Individual,0,0,Fully Paid
37661949,5000,36 months,10.49,162.49,B,B3,Teacher,4 years,MORTGAGE,52000,Source Verified,debt_consolidation,Debt consolidation,853xx,AZ,14.35,1-Jul,660,664,9,1,466,8.8,39,f,Individual,4,1,Charged Off
37681488,9600,36 months,7.49,298.58,A,A4,Store Manager,7 years,MORTGAGE,42000,Source Verified,debt_consolidation,Debt consolidation,629xx,IL,11.51,Oct-00,715,719,10,1,11564,30.9,22,w,Individual,2,1,Fully Paid
37742002,3625,36 months,16.49,128.33,D,D3,Financial Advisor,< 1 year,MORTGAGE,75000,Not Verified,debt_consolidation,Debt consolidation,273xx,NC,17.71,3-Jan,710,714,6,0,1059,81.5,12,f,Individual,2,0,Fully Paid
37631679,15000,36 months,10.49,487.47,B,B3,Fleet Tech III,10+ years,MORTGAGE,84000,Not Verified,credit_card,Credit card refinancing,363xx,AL,19.73,3-Mar,690,694,10,1,4590,69.5,77,f,Individual,1,1,Fully Paid
37631992,21000,36 months,8.67,664.58,B,B1,Senior Software Engineer,10+ years,OWN,120000,Verified,debt_consolidation,Debt consolidation,958xx,CA,19.21,Sep-96,685,689,5,0,6131,94.3,14,f,Individual,2,0,Fully Paid
37681595,8000,36 months,12.39,267.21,C,C1,Owner,8 years,RENT,70000,Source Verified,debt_consolidation,Debt consolidation,064xx,CT,11.91,7-Jul,700,704,6,0,10709,99.2,10,w,Individual,1,0,Fully Paid
37751772,17600,60 months,9.49,369.55,B,B2,High Pressure Plant Tender,< 1 year,MORTGAGE,65000,Not Verified,credit_card,Credit card refinancing,077xx,NJ,15.36,Sep-81,775,779,10,0,22901,35,24,w,Individual,4,0,Fully Paid
37791982,5675,36 months,12.39,189.56,C,C1,Community Manager,2 years,RENT,50000,Source Verified,car,Car financing,802xx,CO,15.55,Mar-92,695,699,7,0,2916,15,15,f,Individual,0,0,Fully Paid
37651933,6825,36 months,15.99,239.92,D,D2,Graduate Teaching Assistant,1 year,RENT,19000,Not Verified,debt_consolidation,Debt consolidation,328xx,FL,26.06,11-Mar,730,734,7,0,5514,26.3,9,f,Individual,0,0,Fully Paid
37742008,3000,36 months,8.19,94.28,A,A5,operator,10+ years,MORTGAGE,85000,Not Verified,debt_consolidation,Debt consolidation,670xx,KS,11.97,2-Jul,680,684,5,0,11873,79.2,19,f,Individual,3,0,Fully Paid
10089665,8000,36 months,10.49,259.99,B,B3,Senior Logistics Analyst,3 years,MORTGAGE,94000,Not Verified,debt_consolidation,Debt consolidation,358xx,AL,22.33,Mar-95,695,699,24,0,32776,43.9,58,f,Individual,6,0,Fully Paid
37811785,14000,60 months,9.49,293.96,B,B2,Associate Director Flight Operations,10+ years,OWN,157000,Not Verified,debt_consolidation,Debt consolidation,770xx,TX,21.73,Jan-81,755,759,8,0,49513,59.8,11,w,Individual,1,0,Fully Paid
37802003,5000,36 months,12.99,168.45,C,C2,engineer,10+ years,RENT,95000,Source Verified,house,Home buying,130xx,NY,20.21,Mar-99,670,674,7,0,12083,92.9,24,f,Individual,1,0,Fully Paid
37661932,4200,36 months,6.99,129.67,A,A3,administrative assistant,10+ years,MORTGAGE,55000,Not Verified,debt_consolidation,Debt consolidation,560xx,MN,21.3,2-Mar,775,779,12,0,5268,33.1,18,f,Joint App,1,0,Fully Paid
37711991,14000,36 months,16.49,495.6,D,D3,Customerservice,9 years,RENT,45000,Source Verified,credit_card,Credit card refinancing,331xx,FL,13.47,8-Aug,660,664,20,0,10585,39.9,22,f,Individual,0,0,Charged Off
37702003,2400,36 months,14.31,82.39,C,C4,Sgt,7 years,OWN,35000,Source Verified,other,Other,283xx,NC,24.45,7-May,665,669,8,1,7467,46.1,15,f,Individual,0,0,Fully Paid
37641966,18000,36 months,11.44,593.06,B,B4,Industrial Worker,2 years,OWN,45000,Not Verified,credit_card,Credit card refinancing,196xx,PA,8.54,6-Aug,670,674,18,0,10399,82.5,26,f,Individual,0,0,Fully Paid
37661950,24000,36 months,11.44,790.74,B,B4,RN,10+ years,MORTGAGE,80000,Source Verified,credit_card,Credit card refinancing,324xx,FL,26.2,Jun-96,685,689,22,0,44074,61.6,44,f,Individual,2,0,Fully Paid
37791945,12000,60 months,17.86,303.81,D,D5,Nurse,4 years,RENT,60000,Source Verified,debt_consolidation,Debt consolidation,841xx,UT,28.78,4-Jun,705,709,12,0,13846,41.1,15,w,Individual,0,0,Fully Paid
37661936,20000,36 months,11.99,664.2,B,B5,Teacher/Admin,10+ years,MORTGAGE,1.00E+05,Source Verified,credit_card,Credit card refinancing,300xx,GA,24.7,Aug-89,740,744,5,0,7698,90.6,26,f,Individual,2,0,Fully Paid
37791995,4500,36 months,14.99,155.98,C,C5,Nanny,4 years,OWN,34000,Not Verified,major_purchase,Major purchase,210xx,MD,28.77,Feb-97,660,664,18,1,12506,45,51,f,Individual,0,0,Charged Off
37612144,5000,36 months,14.99,173.31,C,C5,HEAD TELLER,4 years,RENT,32000,Source Verified,debt_consolidation,Debt consolidation,076xx,NJ,38.86,10-Oct,670,674,17,0,9797,94.2,20,f,Individual,0,0,Fully Paid
37841931,10975,60 months,14.99,261.04,C,C5,"Exec Budget Coord, Acad",10+ years,OWN,60400,Source Verified,debt_consolidation,Debt consolidation,368xx,AL,33.66,Mar-82,680,684,22,0,52253,61.5,45,f,Individual,4,0,Charged Off
37610751,10000,36 months,14.99,346.61,C,C5,Financial Institution Specialist,5 years,MORTGAGE,75000,Verified,credit_card,Credit card refinancing,402xx,KY,19.33,Oct-93,690,694,14,0,27644,88,59,f,Individual,3,0,Fully Paid
37831998,8750,36 months,21.99,334.13,E,E5,Weather forecaster,8 years,MORTGAGE,81200,Verified,moving,Moving and relocation,967xx,HI,29.38,1-Oct,680,684,12,0,31362,75.9,37,f,Individual,5,0,Fully Paid
37612112,6000,36 months,11.99,199.26,B,B5,International Adviser,2 years,RENT,42000,Not Verified,debt_consolidation,Debt consolidation,787xx,TX,11.03,4-Aug,695,699,17,0,12056,50.7,25,f,Individual,0,0,Fully Paid
37720651,21000,60 months,8.19,427.72,A,A5,Milk Lab Manager,6 years,MORTGAGE,48500,Source Verified,debt_consolidation,Debt consolidation,881xx,NM,12.99,Aug-96,790,794,8,0,8549,19.9,16,w,Individual,3,0,Fully Paid
37802030,27525,60 months,22.99,775.79,F,F1,relationship manager,5 years,RENT,60000,Verified,debt_consolidation,Debt consolidation,333xx,FL,31.14,Apr-87,765,769,17,0,8936,13.4,37,f,Individual,0,0,Fully Paid
37761127,2400,36 months,8.19,75.42,A,A5,Technologist,5 years,RENT,42500,Source Verified,debt_consolidation,Debt consolidation,232xx,VA,33.21,Dec-88,765,769,10,0,19059,46,41,w,Individual,0,0,Fully Paid
37721473,12000,36 months,12.99,404.27,C,C2,Business Manager,10+ years,RENT,82000,Not Verified,debt_consolidation,Debt consolidation,130xx,NY,15.1,4-Mar,670,674,12,1,7797,65.5,25,f,Individual,0,1,Fully Paid
37782131,4600,36 months,10.49,149.49,B,B3,Production Assistant,6 years,RENT,40000,Not Verified,debt_consolidation,Debt consolidation,900xx,CA,29.33,Feb-94,660,664,13,1,7568,56.5,22,f,Individual,0,0,Fully Paid
37831974,6400,36 months,10.49,207.99,B,B3,loan officer,1 year,RENT,45800,Source Verified,credit_card,Credit card refinancing,201xx,VA,23.45,6-Aug,705,709,8,0,5724,28.2,24,f,Individual,0,0,Fully Paid
37681956,18000,36 months,15.99,632.74,D,D2,Project Manager,8 years,RENT,43000,Verified,debt_consolidation,Debt consolidation,620xx,IL,13.86,Jul-96,720,724,10,0,19657,42,27,f,Individual,3,0,Fully Paid
36400279,24000,36 months,9.49,768.68,B,B2,Associate Professor,10+ years,RENT,155000,Source Verified,credit_card,Credit card refinancing,774xx,TX,15.23,Apr-93,755,759,10,0,30585,38.1,26,f,Individual,1,0,Fully Paid
37691930,2800,36 months,9.49,89.68,B,B2,Cybersecuriity specialst,2 years,MORTGAGE,109000,Source Verified,home_improvement,Home improvement,234xx,VA,24.69,Oct-98,725,729,15,0,107861,85,40,f,Individual,8,0,Fully Paid
37801983,15000,36 months,13.66,510.2,C,C3,Iron worker/ welder,3 years,RENT,45000,Source Verified,debt_consolidation,Debt consolidation,032xx,NH,33.2,Mar-00,695,699,11,0,6399,38.1,16,f,Individual,0,0,Fully Paid
37681948,13000,36 months,11.44,428.32,B,B4,Mechanic,3 years,MORTGAGE,48000,Not Verified,debt_consolidation,Debt consolidation,789xx,TX,23.58,4-May,690,694,8,0,2864,44.1,16,f,Individual,2,0,Fully Paid
37691945,35000,36 months,17.86,1262.88,D,D5,Consultant,7 years,RENT,78800,Verified,debt_consolidation,Debt consolidation,223xx,VA,10.94,3-Apr,705,709,10,0,23260,65.6,24,f,Joint App,0,0,Fully Paid
37621910,35000,36 months,9.49,1120.99,B,B2,Physician,4 years,MORTGAGE,385000,Verified,credit_card,Credit card refinancing,210xx,MD,18.03,May-93,690,694,21,0,52314,63,45,f,Individual,4,0,Fully Paid
37601999,15000,36 months,8.19,471.37,A,A5,"Manager, Regulatory",10+ years,MORTGAGE,66000,Not Verified,debt_consolidation,Debt consolidation,481xx,MI,28.17,3-Mar,685,689,14,0,22050,46.9,21,w,Individual,6,0,Fully Paid
37701933,7500,36 months,14.99,259.96,C,C5,Front Desk,5 years,RENT,25000,Not Verified,debt_consolidation,Debt consolidation,379xx,TN,15.94,5-Jul,720,724,8,0,8270,37.9,12,f,Individual,0,0,Fully Paid
37841841,5500,36 months,10.49,178.74,B,B3,NA,NA,RENT,16344,Verified,debt_consolidation,Debt consolidation,331xx,FL,16.27,Sep-87,690,694,6,0,9136,94.2,30,f,Individual,0,0,Charged Off
37671926,19200,60 months,20.99,519.32,E,E4,buyer,6 years,MORTGAGE,55000,Source Verified,debt_consolidation,Debt consolidation,356xx,AL,20.72,1-Sep,735,739,7,0,4722,49.7,20,f,Individual,1,0,Fully Paid
37711908,12000,60 months,17.14,299.14,D,D4,IT specialist,7 years,MORTGAGE,74300,Not Verified,credit_card,Credit card refinancing,787xx,TX,14.02,Nov-89,675,679,8,0,21934,78.1,19,f,Individual,4,0,Fully Paid
37681444,24000,60 months,19.24,625.75,E,E2,Logistics Team Lead,2 years,OWN,55000,Source Verified,home_improvement,Home improvement,337xx,FL,7.42,9-Dec,750,754,8,0,73,0.5,19,f,Individual,0,0,Fully Paid
37831861,15600,60 months,15.99,379.28,D,D2,Vocational Rehabilitation Counselor,2 years,MORTGAGE,48000,Verified,debt_consolidation,Debt consolidation,560xx,MN,24.9,Sep-96,675,679,15,0,7798,26.3,36,w,Individual,4,0,Fully Paid
37841743,5000,36 months,12.39,167.01,C,C1,LVN,4 years,MORTGAGE,45000,Verified,debt_consolidation,Debt consolidation,750xx,TX,22.42,3-Jan,660,664,11,1,6450,35.4,21,f,Individual,5,1,Fully Paid
37752007,22200,60 months,17.14,553.4,D,D4,Clinical Data Lead,10+ years,RENT,74500,Source Verified,debt_consolidation,Debt consolidation,015xx,MA,8.05,1-Sep,695,699,7,0,7014,47.4,14,w,Individual,0,0,Charged Off
37761915,10375,36 months,13.66,352.89,C,C3,Dept. Manager,10+ years,RENT,29000,Source Verified,debt_consolidation,Debt consolidation,347xx,FL,35.64,1-Jun,715,719,11,0,11343,47.3,18,f,Individual,0,0,Fully Paid
37701906,5000,36 months,14.31,171.65,C,C4,Sales Manager,5 years,MORTGAGE,1.00E+05,Verified,debt_consolidation,Debt consolidation,601xx,IL,21.64,Oct-91,670,674,10,0,46629,100.1,32,f,Individual,4,0,Fully Paid
37751999,28000,60 months,8.19,570.29,A,A5,Director,1 year,MORTGAGE,175000,Source Verified,credit_card,Credit card refinancing,303xx,GA,15.78,Oct-70,730,734,12,0,42271,47.9,17,w,Individual,1,0,Fully Paid
37791882,35000,60 months,15.99,850.95,D,D2,Firefighter,10+ years,RENT,91000,Verified,debt_consolidation,Debt consolidation,080xx,NJ,2.76,Nov-88,725,729,9,1,7562,26.7,22,f,Individual,4,1,Fully Paid
37671924,16000,36 months,12.99,539.03,C,C2,Sr manager,< 1 year,MORTGAGE,80000,Source Verified,debt_consolidation,Debt consolidation,800xx,CO,22.32,1-Dec,660,664,17,0,10768,53.8,46,f,Joint App,3,0,Charged Off
37741891,28000,36 months,14.99,970.5,C,C5,Application Software Developer,3 years,MORTGAGE,95000,Verified,debt_consolidation,Debt consolidation,442xx,OH,21.12,Dec-99,690,694,31,0,25763,33.7,42,f,Individual,2,0,Fully Paid
37771886,5600,36 months,13.66,190.48,C,C3,Production Manager,3 years,MORTGAGE,92000,Source Verified,debt_consolidation,Debt consolidation,574xx,SD,16.29,6-Dec,690,694,17,1,5134,39.5,25,f,Individual,4,0,Fully Paid
37691982,3000,36 months,14.31,102.99,C,C4,NA,NA,MORTGAGE,133000,Verified,other,Other,922xx,CA,14.13,Sep-85,710,714,10,0,25133,81.3,32,f,Individual,3,0,Fully Paid
37691975,12600,60 months,18.54,323.68,E,E1,production controller,10+ years,MORTGAGE,59103,Source Verified,debt_consolidation,Debt consolidation,310xx,GA,34.5,Dec-00,670,674,13,1,16054,87.7,34,f,Individual,6,0,Fully Paid
37641921,8000,36 months,12.39,267.21,C,C1,Technical Support Associate,1 year,RENT,50000,Source Verified,debt_consolidation,Debt consolidation,951xx,CA,15.45,10-Aug,665,669,12,0,7463,56.1,14,f,Individual,0,0,Fully Paid
37661861,4800,36 months,13.66,163.27,C,C3,Shop Manager,2 years,MORTGAGE,52080,Not Verified,debt_consolidation,Debt consolidation,871xx,NM,7.47,9-Jun,680,684,5,0,2900,58,8,f,Individual,1,0,Fully Paid
37641666,22500,36 months,15.59,786.49,D,D1,Physical Security,4 years,MORTGAGE,65000,Source Verified,debt_consolidation,Debt consolidation,762xx,TX,28.31,5-Oct,670,674,10,0,23255,89.8,16,f,Individual,1,0,Fully Paid
37782025,16950,60 months,25.83,505.79,G,G2,clerk,10+ years,MORTGAGE,56719,Verified,debt_consolidation,Debt consolidation,871xx,NM,32.67,Oct-89,660,664,32,0,13405,51.8,57,w,Individual,10,0,Charged Off
37661855,16375,36 months,18.54,596.45,E,E1,rn,10+ years,MORTGAGE,75000,Source Verified,debt_consolidation,Debt consolidation,750xx,TX,24.4,Dec-86,700,704,13,1,6239,26.4,24,f,Individual,0,1,Fully Paid
37761908,3000,36 months,15.99,105.46,D,D2,Monitor tech/secretary,10+ years,OWN,35000,Not Verified,other,Other,917xx,CA,20.07,Apr-73,665,669,9,1,1497,14.8,23,f,Individual,1,1,Fully Paid
37641959,5000,36 months,12.39,167.01,C,C1,Truck Driver,2 years,MORTGAGE,65000,Verified,home_improvement,Home improvement,300xx,GA,11.39,2-Feb,670,674,10,0,3432,22.1,15,f,Individual,0,0,Charged Off
37681953,8000,36 months,16.49,283.2,D,D3,DRP Planner,2 years,MORTGAGE,39926,Verified,home_improvement,Home improvement,410xx,KY,14.07,7-Sep,710,714,13,0,1203,5.2,22,f,Individual,1,0,Fully Paid
37721926,6700,36 months,14.31,230.01,C,C4,Teacher,2 years,RENT,21000,Not Verified,credit_card,Credit card refinancing,112xx,NY,19.94,6-Apr,670,674,5,0,10064,64.9,6,f,Individual,0,0,Fully Paid
37771899,3000,36 months,14.99,103.99,C,C5,Furnace Operator,8 years,MORTGAGE,65000,Not Verified,debt_consolidation,Debt consolidation,179xx,PA,18.54,4-Feb,670,674,8,0,5778,99.6,18,f,Joint App,1,0,Fully Paid
37701472,18700,36 months,10.49,607.71,B,B3,DC1,10+ years,RENT,80000,Source Verified,debt_consolidation,Debt consolidation,077xx,NJ,15.97,4-Mar,690,694,7,0,7441,57.2,21,f,Individual,0,0,Fully Paid
37731824,7000,36 months,11.99,232.47,B,B5,Credit Analyst,1 year,RENT,45000,Not Verified,credit_card,Credit card refinancing,802xx,CO,20.48,8-May,710,714,9,0,6775,29.2,15,f,Individual,0,0,Fully Paid
37701802,21000,36 months,11.44,691.9,B,B4,Senior Analyst,10+ years,MORTGAGE,148000,Source Verified,debt_consolidation,Debt consolidation,207xx,MD,14.79,Nov-91,700,704,7,0,37443,73.6,28,f,Individual,8,0,Fully Paid
37751916,13400,36 months,6.99,413.7,A,A3,Region Manager,5 years,MORTGAGE,113000,Not Verified,debt_consolidation,Debt consolidation,928xx,CA,5.55,1-Mar,705,709,6,0,46283,13.5,39,w,Individual,8,0,Fully Paid
37631861,1000,36 months,11.44,32.95,B,B4,Engineer,7 years,MORTGAGE,83000,Not Verified,medical,Medical expenses,857xx,AZ,25.12,Dec-96,745,749,10,0,1605,20.3,44,f,Individual,3,0,Fully Paid
37841820,2400,36 months,16.49,84.96,D,D3,General Manager,7 years,RENT,70000,Not Verified,debt_consolidation,Debt consolidation,494xx,MI,10.61,Jun-00,660,664,16,0,1000,100,41,f,Individual,0,0,Fully Paid
37407156,14575,36 months,11.99,484.03,B,B5,Workforce Manager,9 years,RENT,55000,Source Verified,debt_consolidation,Debt consolidation,840xx,UT,23,3-Sep,685,689,15,0,18914,40.4,21,f,Individual,0,0,Fully Paid
37831843,14000,36 months,9.49,448.4,B,B2,Field Service Engineer,10+ years,MORTGAGE,73000,Not Verified,debt_consolidation,Debt consolidation,088xx,NJ,6.94,Feb-82,670,674,4,0,20062,66.9,23,f,Individual,6,0,Fully Paid
37791794,16400,36 months,12.39,547.78,C,C1,sales,7 years,MORTGAGE,105000,Verified,other,Other,953xx,CA,10.54,3-Aug,680,684,17,0,26828,56.8,36,f,Individual,1,0,Fully Paid
37631842,27200,60 months,25.8,811.17,G,G1,MANAGER,10+ years,MORTGAGE,61972,Source Verified,debt_consolidation,Debt consolidation,730xx,OK,25.25,1-Feb,670,674,7,4,4152,64.9,20,w,Individual,0,0,Charged Off
37681636,22400,60 months,24.5,650.92,F,F3,senior chief,10+ years,MORTGAGE,70000,Source Verified,debt_consolidation,Debt consolidation,234xx,VA,27.34,Dec-97,675,679,9,0,20243,82.6,30,f,Individual,3,0,Charged Off
37711880,20000,36 months,15.59,699.1,D,D1,Graphic Designer,2 years,MORTGAGE,50000,Source Verified,credit_card,Credit card refinancing,189xx,PA,16.47,10-Mar,660,664,9,0,7186,74.1,12,f,Individual,0,0,Charged Off
37821880,2850,36 months,12.99,96.02,C,C2,Circulation Suoervisor,10+ years,MORTGAGE,30371,Not Verified,debt_consolidation,Debt consolidation,294xx,SC,12.02,Aug-00,665,669,4,0,2868,84.4,14,f,Individual,1,0,Fully Paid
37854137,4000,36 months,8.19,125.7,A,A5,Program Assistant,< 1 year,MORTGAGE,24000,Not Verified,home_improvement,Home improvement,571xx,SD,10,Nov-89,685,689,9,3,7245,32.1,13,f,Individual,2,0,Fully Paid
37731834,10000,36 months,12.39,334.01,C,C1,Infrastructure Architecht,6 years,RENT,62000,Not Verified,debt_consolidation,Debt consolidation,170xx,PA,20.44,6-Mar,670,674,14,0,4279,77.8,30,f,Individual,0,0,Fully Paid
37691888,15850,36 months,15.59,554.04,D,D1,Adjuster,9 years,RENT,44200,Source Verified,credit_card,Credit card refinancing,328xx,FL,16.56,4-Aug,660,664,13,1,10701,51,36,f,Individual,0,1,Charged Off
37761254,6150,36 months,17.86,221.91,D,D5,butcher block supervisor,2 years,MORTGAGE,65000,Source Verified,debt_consolidation,Debt consolidation,975xx,OR,17.82,1-Jun,670,674,9,2,6157,56.5,17,f,Individual,1,0,Fully Paid
37661840,10000,60 months,14.99,237.85,C,C5,Superintendent,10+ years,RENT,77000,Verified,debt_consolidation,Debt consolidation,236xx,VA,32.68,Oct-00,695,699,27,0,17955,35.1,78,f,Individual,2,0,Fully Paid
37631915,28000,60 months,11.44,614.95,B,B4,Senior IT Proj Manager,10+ years,MORTGAGE,125000,Source Verified,credit_card,Credit card refinancing,190xx,PA,23.13,Jul-96,670,674,22,0,66212,60.2,39,w,Individual,4,0,Fully Paid
37761067,12000,36 months,12.39,400.82,C,C1,Systems Engineer,< 1 year,RENT,1.00E+05,Not Verified,debt_consolidation,Debt consolidation,217xx,MD,7.21,Aug-99,700,704,5,0,69609,87,18,f,Individual,2,0,Fully Paid
37761825,17500,36 months,9.49,560.5,B,B2,Administrative Supervisor,9 years,RENT,35000,Not Verified,debt_consolidation,Debt consolidation,857xx,AZ,26.58,1-Aug,755,759,11,0,7385,53.1,20,f,Individual,0,0,Fully Paid
37651796,10200,60 months,23.99,293.38,F,F2,Contract Specialist,4 years,MORTGAGE,106500,Source Verified,medical,Medical expenses,206xx,MD,9.58,May-99,680,684,10,0,4581,46.3,34,w,Individual,3,0,Charged Off
37631862,3000,36 months,13.66,102.04,C,C3,Helpdesk L2,6 years,RENT,50000,Not Verified,major_purchase,Major purchase,902xx,CA,13.66,1-Oct,690,694,6,0,10502,80.8,19,f,Individual,0,0,Fully Paid
37681180,7500,36 months,15.99,263.65,D,D2,Communications Manager,1 year,RENT,68000,Verified,debt_consolidation,Debt consolidation,949xx,CA,7.04,6-Oct,675,679,7,1,6644,41.5,10,f,Individual,0,0,Fully Paid
37621870,26400,60 months,10.49,567.31,B,B3,Team Lead,10+ years,MORTGAGE,85000,Source Verified,debt_consolidation,Debt consolidation,553xx,MN,14.29,2-Feb,735,739,11,1,7879,18.2,22,w,Individual,4,1,Charged Off
37751902,9000,36 months,15.99,316.37,D,D2,Registered Nurse,3 years,RENT,40000,Verified,debt_consolidation,Debt consolidation,981xx,WA,27.23,Jul-00,670,674,12,0,10513,54.5,17,f,Individual,0,0,Fully Paid
